text,rating,brand,reviewer,variant
"Pokonya produk celana Chino erigo...keren...udah banyak koleksi celana Chino erigo di rumah....selalu memuaskan.
Terima kasih.",5,erigo,Anonim,Light Grey - 30
"Terimakasih Erigo sudah bisa tukar size.
Dengan harga promo bisa dapat celana berkualitas, mari kita tunggu promo lainnya.",5,erigo,Anonim,Light Grey - 38
Memang celana erigo ini bagus x....bakalan pake celana erigo slalu,5,erigo,Anonim,Light Grey - 28
"Packing cukup aman dan rapi. Kali ini pengemasannya lamaaa bgt. Paket diterima sesuai pesanan, ukuran dan warnanya sesuai. Tinggi badan 180cm, berat badan 52k, cocok pakai size 30.
Agak longgar sedikit di pinggang tapi gpp.",4,erigo,Anonim,30
barang bagus tebal &amp; halus ukuran pas cuma pengiriman nya agak telat 1 hari gpp sihh.. cuma ini jahitan celana nya ada yg ga beres sikit nihh,4,erigo,Anonim,34
"Bagusss banget semuanya, pengiriman juga cepat",5,erigo,Anonim,Light Grey - 30
"Realpict, bagus sebenernya harga segitu worth it lah.. cuma sayang ukurannya kekecilan, ngpres banget size 30 di aku bb 55",3,erigo,Anonim,Light Grey - 30
"Bagus bagus semua sepannya, bahan halus, adem dan warna fresh. Kemasan rapi dan exclusive 👍",5,erigo,Anonim,Light Grey - 32
Sesuai gambar kualitas oke,5,erigo,Anonim,Light Grey - 34
"Ukurannya pas..sesuai pesanan harga diskon
pokokx puass...untuk semuax",5,erigo,Anonim,32
secara kualitas  bahan model celana dan kecepatan pengiriman ok. aku suka erigo gak diragukan lagi.,5,erigo,Nur,30
"Good quality, warna aslinya turun 1 level dri foto produk. Terimakasih",5,erigo,Septa,30
"alhamdulillah barang mendarat dengan selamat, bahan bagus, celananya bagus, suka pakainya, ini sudah order kesekian kalinya... recomended banget deh pokoknya.... 
parfumnya juga harum.... 
packing rapi, proses cepat.... 
all oke...",5,erigo,Irwan,38
"Bahan tebal, jahitan bagus, warnanya jg bagus...
Saya pakai 34 biasanya, karna ga yakin pesan 38, ga terlalu jauh kebesaran..",5,erigo,Anonim,38
"Barang keren, nyaman, sesuai ukuran dan pesanan. Fastrespon dan barang datang dengan kondisi aman. Thanks",5,erigo,Kharis,34
celananya lembut dan enak dipakai. pokoknya mantap,5,erigo,Indra,32
"Ga kecewa beli disini, adminnya gercep, pesanan juga sesuai, keren. Bahannya berkualitas, ga murahan. Kece abis. Cuma agak lama di pengiriman, but overall worth it. Besok beli lagi deh. Note: sesuai review yg laen, pesen 2 nomor diatas, kalo biasa 28 berarti pesen yang ukuran 30. Fit.",5,erigo,Anonim,30
"Pembelian kesekian kalinya celana chino dari erigo. selalu puas atas kualitas celananya. kain lembut nyaman dipake, size sesuai. pertahankan kualitas nya Erigo.",5,erigo,Anonim,32
"Pembelian kedua kalinya dari Erigo. Tinggi 175cm, berat badan 70-72kg memang dianjurkan beli ukuran 36, pas panjangnya dan enak di badan untuk slim fit tapi tidak mengetat. Bahannya stretch dan lembut. Quality Control baik, tidak ada cacat 👍🏻",5,erigo,Anonim,36
"RECOMMEND BGT...brngnya 👍
sdh 3x beli di ERIGO",5,erigo,David,36
Kualitas produk: Bahan bagus adem dan alus serta nyaman saat digunakan,5,erigo,Anonim,32
saku belakang terlalu dangkal,5,erigo,Muhammad,34
"Udah ke 2 kali nya beli Erigo, hanya beda bahan kalo yg ini seperti nya lebih adem ga bkn gerah. Di banding pembelian sblm nya untuk material nya yg ini saya lebih suka.",5,erigo,Anonim,32
"Ukuran pas untuk size 38 dan warna sesuai deskripsi produk grey, ukuran badan 85 dan tinggi badan 171 cm",5,erigo,Anonim,Light Grey - 38
Kualitas produk: Teramat bagus merk erigo emang GK bisa di tandingi keren bahanya tebal,5,erigo,Anonim,Light Grey - 38
"Pengemasan dan pengiriman nya super cepat, packaging nya rapi plus savety, kualitas barang nya worth it dengan harga barang nya",5,erigo,Anonim,Light Grey - 36
"Kualitas produk: Bagus, tapi kainnya agak beda dengan yang di toko offline",5,erigo,Anonim,40
"Kain tebel jaritan rapi pengiriman ok
Kualitas produk: Mantap bagus",5,erigo,Anonim,36
"Barang nya bagus sesuai sama yg di pesan, pokonya rekomendasi,yg belum beli buruan beli Ega bakalan nyesel,dengan harga terjangkau kualitas premium.
Next order lagi.",5,erigo,Anonim,Light Grey - 30
"Bagus..bahannya tebel,,jahitannya tebel.gak nyesel beli dsni.suamiku suka.next order lagi",5,erigo,Anonim,Light Grey - 38
"Bahannya sangat bagus, tebal dan nyaman di pakai, recomen lah",5,erigo,Anonim,Light Grey - 40
"Bahannya bagus, ukuran pas… thanks erigo",5,erigo,Rijki,30
Mantap barangnya tdk mengecewakan sesuai dengan gambar.. pengiriman jg sesuai dengan estimasi👍👍,5,erigo,Anonim,Light Grey - 34
"bahan lembut,sereting mantap,ade kancing di bgian dlam sereting, ok beli lagi",5,erigo,Anonim,Light Grey - 32
Ternyata klo di aku jeans erigo 32 tp klo bahan katun harus 34 .. ok fix cocok bgt nice,5,erigo,Anonim,Light Grey - 34
"Bahannya alus, jahitan rapi, wortit... Tks erigoooooo",5,erigo,Anonim,Light Grey - 32
"Alhamdulillah barang dateng sesuai dg pesanan
Overall very very uapikk
Terimakasih sudah mengirimkan barang sesuai dg pesanan saya dikala banyaknya problem barang datang tdk sesuai pesanan",5,erigo,Anonim,Light Grey - 34
"sy suka . celananya pas ... bhnnya bagus ,halus.puas deh",5,erigo,Anonim,Light Grey - 30
"Dapet di harga 86k okelah untk hrga segitu...
Gak tebel gak tipis ccok untuk shari²",5,erigo,Anonim,Light Grey - 32
"Barang ORI, bagus banget, bahan halus ukuran pas",5,erigo,Anonim,Light Grey - 32
Ukurannya pas Tinggi badan 160 - 170 cm,5,erigo,Bayu,38
"Sangat bagus
Bahan ok",5,erigo,Anonim,34
"selalu  mantap barang nya bro, originale",5,erigo,Dedy,40
Kualitas produk: Bahan nyaman di pakai kwalitas cukup bagus... Harga murmer... Pokok ny jng ragu sesuai Live .. Amanah,5,erigo,Anonim,34
"Chino uk. 36 utk bb 75 paha besar, muat &amp; pas",5,erigo,Anonim,Light Grey - 36
"Celananya bagus warnanya sesuai pesanan,jahitan rapi pengiriman cepat",5,erigo,Anonim,38
"Sesuai pesenan cuma memang pengiriman lama dan proses packingnya juga
Tp semuanya oke lah",5,erigo,Anonim,Light Grey - 32
"Untuk barang sesuai deskripsi pengirman juga cepat, gk pernah mengecewakan produk Erigo, next bakal order lagi",5,erigo,Anonim,32
